PROCESO_ELECTORAL,ANIO,ORGANIZACION_POLITICA,TIPO_PARTIDO,NOMBRE_COMPLETO,NACIMIENTO,EDAD,PROFESION,PROCEDENCIA
ELECCIONES GENERALES 2016,2016,TODOS POR EL PERU,PARTIDO POLÍTICO,JULIO ARMANDO GUZMAN CACERES,1970,45,ECONOMISTA,LIMA
ELECCIONES GENERALES 2016,2016,ACCION POPULAR,PARTIDO POLÍTICO,ISAAC ALFREDO BARNECHEA GARCIA,1952,63,ESCRITOR,ICA
ELECCIONES GENERALES 2016,2016,SIEMPRE UNIDOS,PARTIDO POLÍTICO,FELIPE BALDOMERO CASTILLO ALFARO,1949,66,MEDICO,ANCASH
ELECCIONES GENERALES 2016,2016,PERU POSIBLE,PARTIDO POLÍTICO,ALEJANDRO TOLEDO MANRIQUE,1945,70,ECONOMISTA,ANCASH
ELECCIONES GENERALES 2016,2016,PERU PATRIA SEGURA,PARTIDO POLÍTICO,RENZO ANDRES REGGIARDO BARRETO,1972,43,ABOGADO,LIMA
ELECCIONES GENERALES 2016,2016,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,DANIEL BELIZARIO URRESTI ELERA,1956,59,MILITAR,PIURA
ELECCIONES GENERALES 2016,2016,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,YEHUDE SIMON MUNARO,1947,68,ABOGADO,LIMA
ELECCIONES GENERALES 2016,2016,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,ANTERO FLORES ARAOZ ESPARZA,1942,73,ABOGADO,LIMA
ELECCIONES GENERALES 2016,2016,FUERZA POPULAR,PARTIDO POLÍTICO,KEIKO SOFIA FUJIMORI HIGUCHI,1975,40,ADMINISTRADOR,LIMA
ELECCIONES GENERALES 2016,2016,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,VERONIKA FANNY MENDOZA FRISCH,1980,35,PSICOLOGA,CUSCO
ELECCIONES GENERALES 2016,2016,FRENTE ESPERANZA,PARTIDO POLÍTICO,LUIS FERNANDO OLIVERA VEGA,1958,57,ADMINISTRADOR,LIMA
ELECCIONES GENERALES 2016,2016,PROGRESANDO PERU,PARTIDO POLÍTICO,MIGUEL WALTER HILARIO ESCOBAR,1970,45,ECONOMISTA,UCAYALI
ELECCIONES GENERALES 2016,2016,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,GREGORIO SANTOS GUERRERO,1966,49,DOCENTE,CAJAMARCA
ELECCIONES GENERALES 2016,2016,PERU LIBERTARIO,PARTIDO POLÍTICO,VLADIMIR ROY CERRON ROJAS,1970,45,MEDICO,JUNIN
ELECCIONES GENERALES 2016,2016,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,PEDRO PABLO KUCZYNSKI GODARD,1938,77,ECONOMISTA,LIMA
ELECCIONES GENERALES 2016,2016,PERU NACION,PARTIDO POLÍTICO,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,1946,69,ABOGADO,LIMA
ELECCIONES GENERALES 2016,2016,ALIANZA PARA EL PROGRESO DEL PERU,ALIANZA ELECTORAL,CESAR ACUÑA PERALTA,1952,63,INGENIERO,CAJAMARCA
ELECCIONES GENERALES 2016,2016,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,HERNANDO GUERRA GARCIA CAMPOS,1963,52,ABOGADO,LIMA
ELECCIONES GENERALES 2016,2016,ALIANZA POPULAR,ALIANZA ELECTORAL,ALAN GABRIEL LUDWIG GARCIA PEREZ,1949,66,ABOGADO,LIMA
